id;nombre;descripcion;precio;duracion_meses;tipo_pago
1;less across;or furthermore swanling;1512.37;17714;UNICO_PAGO
2;smuggle whereas;along ack;25491.54;29703;MENSUAL
3;reboot supposing shrill;rue;3554.67;11333;ANUAL
4;highly;frizzy serpentine briskly;8539.68;24733;MENSUAL
5;vivaciously;above smarten;115.72;17246;UNICO_PAGO
6;gee during;almighty;22244.03;7052;ANUAL
7;outside duh;outside;30316.88;27168;ANUAL
8;lined zowie;past;12832.43;28336;ANUAL
9;ultimately after;that apparatus filter;2938.71;25223;UNICO_PAGO
10;for barracks;deflect;32660.03;3334;MENSUAL
